Match_id,Player_id,Player_name,Hero,Position,Side,Kills,Deaths,Assists,LH,GPM,SecondsOfEnemyStunt,AlliedHeal,Won,Team_id,Team_name,Duration,Date,League_id,League_name
1390588500,89407113,LGD.X!!,Lina,Top (Safe),Dire,7,3,6,43,368,0,1200.0,True,15,LGD-GAMING,23:11,2015-04-11T12:38:01+00:00,2661,The Summit 3
1390670122,98887913,xiao8,Lina,Radiant Jungle,Radiant,5,9,7,203,349,0,0.0,False,15,LGD-GAMING,54:47,2015-04-11T13:41:28+00:00,2661,The Summit 3
1390670122,106863163,sqm,Shadow Fiend,Middle,Radiant,11,5,6,463,591,0,0.0,False,15,LGD-GAMING,54:47,2015-04-11T13:41:28+00:00,2661,The Summit 3
1390670122,98878010,LGD.Yao,Sand King,Top (Off),Radiant,4,5,13,130,358,0,0.0,False,15,LGD-GAMING,54:47,2015-04-11T13:41:28+00:00,2661,The Summit 3
1390670122,108382060,LGD.Sylar,Tiny,Bottom (Safe),Radiant,4,9,7,454,536,0,0.0,False,15,LGD-GAMING,54:47,2015-04-11T13:41:28+00:00,2661,The Summit 3
1390670122,89407113,LGD.X!!,Io,Bottom (Safe),Radiant,1,7,8,36,261,0,5200.0,False,15,LGD-GAMING,54:47,2015-04-11T13:41:28+00:00,2661,The Summit 3
1390670122,91698091,rOtk,Undying,Bottom (Off),Dire,10,4,18,185,536,0,592.0,True,4,EHOME,54:47,2015-04-11T13:41:28+00:00,2661,The Summit 3
1390670122,89423756,LaNm,Earthshaker,Middle,Dire,1,8,20,64,266,0,640.0,True,4,EHOME,54:47,2015-04-11T13:41:28+00:00,2661,The Summit 3
1390670122,111189717,Lv.Inflame,Queen of Pain,Middle,Dire,9,3,19,307,592,0,0.0,True,4,EHOME,54:47,2015-04-11T13:41:28+00:00,2661,The Summit 3
1390670122,114239371,Lv.ddc,Witch Doctor,Top (Safe),Dire,5,8,16,61,331,0,2700.0,True,4,EHOME,54:47,2015-04-11T13:41:28+00:00,2661,The Summit 3
